,automata,lstm,gru,cnn1d
original,0.07142857142857142,0.09051724137931035,0.6153846153846154,0.10909090909090909
gaussian_noise,0.06504065040650407,0.09130434782608696,0.6153846153846154,0.09016393442622951
unseen,0.06,0.07741935483870968,0.09523809523809523,0.09090909090909091
