,automata,lstm,gru,cnn1d
original,0.6730769230769231,0.8146766169154229,0.9353233830845771,0.75
gaussian_noise,0.6129807692307693,0.8233830845771144,0.9365671641791045,0.7562189054726368
unseen,0.5216346153846154,0.7251243781094527,0.9029850746268657,0.6890547263681592
