,automata,lstm,gru,cnn1d
original,0.09090909090909091,0.17679558011049723,0.21212121212121213,0.16597510373443983
gaussian_noise,0.09411764705882353,0.19318181818181818,0.23880597014925373,0.1694915254237288
unseen,0.08743169398907104,0.14671814671814673,0.025,0.14965986394557823
