,automata,lstm,gru,cnn1d
original,0.42119987761148553,0.5065457768450929,0.0,0.5223087213247655
gaussian_noise,0.2604283069496639,0.44832975867776204,0.013802083333333335,0.4315505352822081
unseen,0.5584607055794076,0.5190276547466998,0.0,0.4766083527731088
